id,name,class
AJ_Cook_0001,AJ_Cook,0
Aaron_Patterson_0001,Aaron_Patterson,4
Aaron_Peirsol_0001,Aaron_Peirsol,5
Aaron_Sorkin_0002,Aaron_Sorkin,7
Abba_Eban_0001,Abba_Eban,9
Abdoulaye_Wade_0004,Abdoulaye_Wade,14
Abdullah_0002,Abdullah,18
Abdullah_Gul_0004,Abdullah_Gul,20
Abdullah_Gul_0005,Abdullah_Gul,20
Abdullah_Gul_0008,Abdullah_Gul,20
Abdullah_Gul_0010,Abdullah_Gul,20
Abdullah_Gul_0012,Abdullah_Gul,20
Abdullah_Gul_0013,Abdullah_Gul,20
Abdullah_Gul_0019,Abdullah_Gul,20
Abel_Pacheco_0004,Abel_Pacheco,25
Aby_Har-Even_0001,Aby_Har-Even,29
Adel_Al-Jubeir_0002,Adel_Al-Jubeir,38
Adolfo_Rodriguez_Saa_0001,Adolfo_Rodriguez_Saa,42
Adrian_McPherson_0001,Adrian_McPherson,46
Adrian_Nastase_0002,Adrian_Nastase,48
Adrianna_Zuzic_0001,Adrianna_Zuzic,51
Adrien_Brody_0007,Adrien_Brody,52
Agbani_Darego_0001,Agbani_Darego,54
Ahmed_Chalabi_0001,Ahmed_Chalabi,60
Ai_Sugiyama_0002,Ai_Sugiyama,67
Akbar_Hashemi_Rafsanjani_0002,Akbar_Hashemi_Rafsanjani,78
Akhmed_Zakayev_0001,Akhmed_Zakayev,79
Akhmed_Zakayev_0002,Akhmed_Zakayev,79
Al_Gore_0002,Al_Gore,84
Al_Gore_0005,Al_Gore,84
Al_Leiter_0001,Al_Leiter,85
Al_Sharpton_0003,Al_Sharpton,87
Al_Sharpton_0004,Al_Sharpton,87
Alan_Ball_0001,Alan_Ball,90
Alan_Ball_0002,Alan_Ball,90
Alan_Dershowitz_0001,Alan_Dershowitz,91
Alan_Tang_Kwong-wing_0001,Alan_Tang_Kwong-wing,98
Alanis_Morissette_0001,Alanis_Morissette,101
Alastair_Campbell_0001,Alastair_Campbell,103
Alastair_Campbell_0004,Alastair_Campbell,103
Alastair_Campbell_0005,Alastair_Campbell,103
Albaro_Recoba_0001,Albaro_Recoba,105
Albert_Costa_0001,Albert_Costa,107
Albert_Costa_0003,Albert_Costa,107
Albrecht_Mentz_0002,Albrecht_Mentz,116
Alec_Baldwin_0002,Alec_Baldwin,118
Alec_Baldwin_0004,Alec_Baldwin,118
Alecos_Markides_0001,Alecos_Markides,119
Alejandro_Atchugarry_0001,Alejandro_Atchugarry,120
Alejandro_Atchugarry_0002,Alejandro_Atchugarry,120
Alejandro_Toledo_0002,Alejandro_Toledo,127
Alejandro_Toledo_0003,Alejandro_Toledo,127
Alejandro_Toledo_0005,Alejandro_Toledo,127
Alejandro_Toledo_0006,Alejandro_Toledo,127
Alejandro_Toledo_0007,Alejandro_Toledo,127
Alejandro_Toledo_0019,Alejandro_Toledo,127
Alejandro_Toledo_0023,Alejandro_Toledo,127
Alejandro_Toledo_0025,Alejandro_Toledo,127
Alejandro_Toledo_0029,Alejandro_Toledo,127
Alejandro_Toledo_0034,Alejandro_Toledo,127
Alek_Wek_0001,Alek_Wek,128
Alessandra_Cerna_0001,Alessandra_Cerna,131
Alex_Holmes_0001,Alex_Holmes,139
Alex_Penelas_0002,Alex_Penelas,141
Alex_Popov_0001,Alex_Popov,142
Alexander_Losyukov_0004,Alexander_Losyukov,149
Alexandra_Pelosi_0001,Alexandra_Pelosi,154
Alexandra_Vodjanikova_0002,Alexandra_Vodjanikova,158
Alexandre_Vinokourov_0001,Alexandre_Vinokourov,162
Alfonso_Portillo_0001,Alfonso_Portillo,166
