id,name,class
Aaron_Peirsol_0004,Aaron_Peirsol,5
Aaron_Sorkin_0001,Aaron_Sorkin,7
Abdel_Nasser_Assidi_0002,Abdel_Nasser_Assidi,13
Abdul_Majeed_Shobokshi_0001,Abdul_Majeed_Shobokshi,15
Abdul_Rahman_0001,Abdul_Rahman,16
Abdulaziz_Kamilov_0001,Abdulaziz_Kamilov,17
Abdullah_0002,Abdullah,18
Abdullah_Nasseef_0001,Abdullah_Nasseef,21
Abdullatif_Sener_0002,Abdullatif_Sener,23
Adam_Freier_0001,Adam_Freier,31
Adriana_Perez_Navarro_0001,Adriana_Perez_Navarro,50
Ahmad_Masood_0001,Ahmad_Masood,58
Ahmed_Chalabi_0002,Ahmed_Chalabi,60
Ahmed_Qureia_0001,Ahmed_Qureia,64
Ai_Sugiyama_0004,Ai_Sugiyama,67
Ai_Sugiyama_0005,Ai_Sugiyama,67
Al_Davis_0001,Al_Davis,83
Al_Gore_0002,Al_Gore,84
Al_Gore_0003,Al_Gore,84
Al_Leiter_0001,Al_Leiter,85
Al_Sharpton_0004,Al_Sharpton,87
Alanis_Morissette_0001,Alanis_Morissette,101
Alec_Baldwin_0001,Alec_Baldwin,118
Alec_Baldwin_0002,Alec_Baldwin,118
Alecos_Markides_0001,Alecos_Markides,119
Alejandro_Lembo_0001,Alejandro_Lembo,124
Alejandro_Lerner_0001,Alejandro_Lerner,125
Alejandro_Toledo_0008,Alejandro_Toledo,127
Alejandro_Toledo_0017,Alejandro_Toledo,127
Alejandro_Toledo_0019,Alejandro_Toledo,127
Alejandro_Toledo_0023,Alejandro_Toledo,127
Alejandro_Toledo_0039,Alejandro_Toledo,127
Aleksander_Kwasniewski_0001,Aleksander_Kwasniewski,129
Alex_Cabrera_0001,Alex_Cabrera,134
Alex_Cejka_0001,Alex_Cejka,135
Alex_Ferguson_0001,Alex_Ferguson,137
Alex_Holmes_0001,Alex_Holmes,139
Alexander_Lukashenko_0001,Alexander_Lukashenko,150
Alexandra_Rozovskaya_0001,Alexandra_Rozovskaya,155
Alexandre_Despatie_0001,Alexandre_Despatie,160
Alfred_Ford_0001,Alfred_Ford,168
Alistair_MacDonald_0001,Alistair_MacDonald,195
Allan_Houston_0001,Allan_Houston,196
